course_id,crn,subject,course,section,campus,credits,title,days,start_time,end_time,capacity,accounted,remaining,wl_capacity,wl_accounted,wl_remaining,xl_capacity,xl_accounted,xl_remaining,instructor_fname,instructor_lname,instructor_id,start_date,end_date,location,attribute,score,days2,start_time2,end_time2,start_date2,end_date2,days3,start_time3,end_time3,start_date3,end_date3,days4,start_time4,end_time4,start_date4,end_date4,days5,start_time5,end_time5,start_date5,end_date5,days6,start_time6,end_time6,start_date6,end_date6,days7,start_time7,end_time7,start_date7,end_date7,days8,start_time8,end_time8,start_date8,end_date8,days9,start_time9,end_time9,start_date9,end_date9,days10,start_time10,end_time10,start_date10,end_date10,days11,start_time11,end_time11,start_date11,end_date11,crse_avg,crse_a,crse_b,crse_c,crse_d,crse_e
1,20385,ACC,240,1,M1,3,Principles of Financial Acct,MW,10:00 am,11:15 am,35,32,3,99,13,86,0,0,0,Anthony,Kurek,NULL,01/04,04/25,OWEN 110,&nbsp;,3.69104477612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,20386,ACC,240,2,M1,3,Principles of Financial Acct,MW,11:30 am,12:45 pm,35,36,-1,99,2,97,0,0,0,Anthony,Kurek,NULL,01/04,04/25,OWEN 110,&nbsp;,3.69104477612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,21323,ACC,240,3,M1,3,Principles of Financial Acct,MW,01:00 pm,02:15 pm,35,35,0,99,0,99,0,0,0,Barbara,Ross,NULL,01/04,04/25,OWEN 110,&nbsp;,3.19827586207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,21455,ACC,240,4,M1,3,Principles of Financial Acct,MW,02:30 pm,03:45 pm,35,36,-1,99,0,99,0,0,0,Barbara,Ross,NULL,01/04,04/25,OWEN 110,&nbsp;,3.19827586207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,22310,ACC,240,5,M1,3,Principles of Financial Acct,TR,08:30 am,09:45 am,35,19,16,99,0,99,0,0,0,TBA,TBA,NULL,01/04,04/25,OWEN 110,&nbsp;,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,23248,ACC,240,7,M1,3,Principles of Financial Acct,TR,10:00 am,11:15 am,35,28,7,99,0,99,0,0,0,TBA,TBA,NULL,01/04,04/25,OWEN 110,&nbsp;,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,20387,ACC,240,8,M1,3,Principles of Financial Acct,R,06:30 pm,09:10 pm,35,20,15,99,0,99,0,0,0,TBA,TBA,NULL,01/04,04/25,OWEN 110,&nbsp;,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,20389,ACC,240,10,M1,3,Principles of Financial Acct,TR,11:30 am,12:45 pm,35,24,11,99,0,99,0,0,0,TBA,TBA,NULL,01/04,04/25,OWEN 228,&nbsp;,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,24721,ACC,240,11,M1,3,Principles of Financial Acct,TR,01:00 pm,02:15 pm,35,35,0,99,0,99,0,0,0,Kimberly,Kopka,NULL,01/04,04/25,OWEN 228,&nbsp;,3.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,24722,ACC,240,12,M1,3,Principles of Financial Acct,TR,02:30 pm,03:45 pm,35,21,14,99,0,99,0,0,0,Rolland,Cooper,NULL,01/04,04/25,OWEN 228,&nbsp;,3.45231481481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
